name,brand,price,description
['itel A05s 2GB/32GB'],['Brand:                itel'],"['7,090৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 2GB | RAM Expansion: up to 2GB', 'ROM: 32GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['7,090৳']",[nan]
['itel A05s 4GB/64GB'],['Brand:                itel'],"['7,990৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 4GB | RAM Expansion: up to 2GB', 'ROM: 64GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['7,990৳']",[nan]
['itel A05s 4GB/64GB'],['Brand:                itel'],"['7,990৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 4GB | RAM Expansion: up to 2GB', 'ROM: 64GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
['itel A05s 4GB/64GB'],['Brand:                itel'],"['7,990৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 4GB | RAM Expansion: up to 2GB', 'ROM: 64GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
['itel A05s 2GB/32GB'],['Brand:                itel'],"['7,090৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 2GB | RAM Expansion: up to 2GB', 'ROM: 32GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['7,990৳']",[nan]
['Infinix Hot 30i 4GB/128GB'],['Brand:                Infinix'],"['11,499৳']","['OS: Android™ 12', 'Processor: MediaTek Helio G37 (12nm)', 'CPU: Octa-core CPU, Up To 2.3GHz', 'GPU: IMG PowerVR GE8320', 'RAM: 4GB (UP TO 8GB)', 'ROM: 128GB', 'RAM/ROM Type: EMMC, LPDDR4X', 'External Memory: Up To 1TB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Nano Sim+Micro Sd', 'Display Size: 6.56″ HD+ True Bright Display | 90Hz Refresh Rate', 'Display Peak Brightness: 500nits', 'Display Type: IPS a-Si Display | Material: LCD', 'Display Resolution: 720*1612 Pixels', 'Rear Camera: 50MP+AI Lens with Dual Flash Light', 'Front Camera: 5MP with Dual Flash Light', 'Video Feature: 2K 30FPS/1080P 30FPS', 'Scene Modes: Short Video, Video, Ai Cam, Beauty, Super Night, Portrait, Slow Motion, Time-Lapse, Ar Shot, Documents', 'Battery Capacity: 5000mAh | 10W Charge Output', 'Connectivity: WLAN: IEEE 802.11 a/ b/ g/ n/ ac 2.4G, 5G | Bluetooth: Yes | GPS | FM radio | USB Type-C | 3.5mm Jack | OTG', 'Sensors: G-Sensor | E-Compass | Gyroscope | Light Sensor | Proximity Sensor | Side-Fingerprint Sensor']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['11,499৳']",[nan]
